################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         63   3.4559942446539503E-10   3.7919763936605884E-03   3.7637332891838639E-04   3.4095541518651461E-04
         1         64   0.0000000000000000E+00   3.0630725662369072E-03   9.3677606941906352E-05   1.8378393849797942E-04
         1         65   0.0000000000000000E+00   3.1246299683588765E-03   2.0415370517527854E-04   2.6614824180427058E-04
         1         66   0.0000000000000000E+00   4.1777088842848784E-03   7.0992890415007054E-04   5.2862517267222376E-04
         1         67   0.0000000000000000E+00   2.8567460137982168E-03   1.0147464661258934E-04   1.7680002179778283E-04
         1         68   0.0000000000000000E+00   3.3555075902203025E-03   7.2191749077355773E-04   4.7386557153730058E-04
         1         69   7.2043645133443598E-08   4.7995202967217217E-03   1.1586366074709691E-03   5.5380301387663298E-04
         1         70   0.0000000000000000E+00   7.3327745500806991E-03   2.6713113274267459E-04   4.7703506451953831E-04
         1         71   0.0000000000000000E+00   7.7831830129188760E-03   5.7333297183765470E-04   6.8902318679249562E-04
         1         72   0.0000000000000000E+00   1.0431531604934327E-02   2.2407833207258045E-03   1.3523184563684291E-03
         1         73   0.0000000000000000E+00   6.1451184614986472E-03   2.7539362166232028E-04   4.3893387292318124E-04
         1         74   0.0000000000000000E+00   8.6649758453646083E-03   2.0949533861138485E-03   1.1006208478316749E-03
         1         75   8.6153958900051835E-08   1.1042125229849393E-02   2.3175517219200495E-03   1.2050757089067544E-03
         1         76   0.0000000000000000E+00   2.1716738207519778E-04   2.1294603112513361E-06   7.3599169134913116E-06
         1         77   0.0000000000000000E+00   1.8087194352205341E-04   3.8043495821911463E-06   8.4562352025593433E-06
         1         78   0.0000000000000000E+00   2.0759396749225041E-04   1.1530779869040436E-05   1.6218091300380619E-05
         1         79   0.0000000000000000E+00   1.5281932128151409E-04   1.5774586907794209E-06   4.6514072532996413E-06
         1         80   0.0000000000000000E+00   1.5813501940364132E-04   1.0530555486525224E-05   1.2785810535475912E-05
