################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.8418965496366091E+01 a       398     0    20     1    18
  5.1201338452401257E-01 a       399     0    20     1    19
  5.8876250809767261E-01 a       400     0    20     1    20
  6.9951197705599766E+00 a       401     0    21     1     1
  1.3815664210633532E+01 a       402     0    21     1     2
 -1.7517000608769351E+01 a       403     0    21     1     3
  7.7582961140104487E+00 a       404     0    21     1     4
 -1.1372353681684588E+01 a       405     0    21     1     5
 -1.4928330193085825E+01 a       406     0    21     1     6
  4.3776960694564266E+00 a       407     0    21     1     7
  2.5330851431137051E+00 a       408     0    21     1     8
 -6.4322801069474318E+00 a       409     0    21     1     9
 -9.0037792244998283E+00 a       410     0    21     1    10
 -1.0548882778417186E+01 a       411     0    21     1    11
 -7.1509832735720114E-01 a       412     0    21     1    12
  1.9531780488693022E+00 a       413     0    21     1    13
 -2.4031970762230429E+01 a       414     0    21     1    14
  1.1645466564834848E+01 a       415     0    21     1    15
  7.3055070426977062E+00 a       416     0    21     1    16
 -3.9965992452075300E-02 a       417     0    21     1    17
 -3.4845802810880873E+00 a       418     0    21     1    18
  9.6698611203488767E+00 a       419     0    21     1    19
  1.5544543597037027E+01 a       420     0    21     1    20
  1.2320671866333473E+01 a       421     0    22     1     1
 -5.8602657859918441E+00 a       422     0    22     1     2
  1.7823257604564169E+00 a       423     0    22     1     3
  4.5848073744352167E+00 a       424     0    22     1     4
 -3.6011311834043205E+01 a       425     0    22     1     5
 -2.0092563296269986E+01 a       426     0    22     1     6
  6.5429760417231719E-01 a       427     0    22     1     7
 -7.4011471057452782E+00 a       428     0    22     1     8
  5.5008607666919254E+00 a       429     0    22     1     9
 -3.2917394288692400E+01 a       430     0    22     1    10
  8.4321282351045816E+00 a       431     0    22     1    11
 -3.1710702753354183E+00 a       432     0    22     1    12
 -1.8427176870324203E+01 a       433     0    22     1    13
 -1.9262513464573733E+01 a       434     0    22     1    14
  4.7837697638342584E+00 a       435     0    22     1    15
  2.4290251416584709E+01 a       436     0    22     1    16
 -2.9238756039286411E+00 a       437     0    22     1    17
 -6.1002439114452658E+00 a       438     0    22     1    18
  4.7128406629411348E+00 a       439     0    22     1    19
  2.0734115676714680E+01 a       440     0    22     1    20
  6.7738887799627063E+00 a       441     0    23     1     1
  8.7457431070030243E+00 a       442     0    23     1     2
 -1.1662168454705924E+01 a       443     0    23     1     3
  7.6907855538588930E+00 a       444     0    23     1     4
  3.6909948966623261E+01 a       445     0    23     1     5
 -1.1140516213398707E+01 a       446     0    23     1     6
 -9.4270816400284989E+00 a       447     0    23     1     7
  4.5364229056349298E-01 a       448     0    23     1     8
  1.7533134218892545E+01 a       449     0    23     1     9
 -6.7303631585384442E+00 a       450     0    23     1    10
  1.7409323547732949E+01 a       451     0    23     1    11
 -5.1541925265641564E-01 a       452     0    23     1    12
  1.8743823708942362E+00 a       453     0    23     1    13
 -2.5490301133011499E+01 a       454     0    23     1    14
 -2.0572233663324809E+01 a       455     0    23     1    15
 -2.1339326071257791E+01 a       456     0    23     1    16
  1.6332074690286458E+00 a       457     0    23     1    17
 -7.5845752333124778E+00 a       458     0    23     1    18
 -1.7250608806756457E+01 a       459     0    23     1    19
 -1.9754711600320348E+01 a       460     0    23     1    20
  6.7097066486182841E+00 a       461     0    24     1     1
 -2.2637004211466369E+01 a       462     0    24     1     2
  1.0543221422860301E+01 a       463     0    24     1     3
 -5.9010615692520183E+01 a       464     0    24     1     4
 -8.2035878021493982E+00 a       465     0    24     1     5
 -7.6558517502180328E+00 a       466     0    24     1     6
 -9.3564589802313347E-01 a       467     0    24     1     7
  4.0461149803009064E+00 a       468     0    24     1     8
  6.9022481511561629E-01 a       469     0    24     1     9
 -2.4283709260383670E+00 a       470     0    24     1    10
 -2.6250526587948201E+01 a       471     0    24     1    11
 -4.7004640831626219E+00 a       472     0    24     1    12
  6.8880936590895447E-02 a       473     0    24     1    13
  2.7705238528610039E+00 a       474     0    24     1    14
 -3.0876354997716849E+01 a       475     0    24     1    15
 -4.8584963022818952E+00 a       476     0    24     1    16
  1.3639867611182620E+01 a       477     0    24     1    17
  6.0708692675046683E+00 a       478     0    24     1    18
 -2.2265708848725328E+01 a       479     0    24     1    19
 -1.8863154716263647E+01 a       480     0    24     1    20
  1.1345767031429959E+01 a       481     0    25     1     1
 -3.5312731308917282E+00 a       482     0    25     1     2
  4.5929372549068379E+00 a       483     0    25     1     3
 -4.5369078093511055E+00 a       484     0    25     1     4
  3.3515293877913045E+01 a       485     0    25     1     5
 -1.9075252957052225E+01 a       486     0    25     1     6
 -2.7303071518619650E+00 a       487     0    25     1     7
  8.4366649539635450E+00 a       488     0    25     1     8
  3.0045161873897857E+00 a       489     0    25     1     9
 -1.8383268475741044E+01 a       490     0    25     1    10
 -2.0192838004980480E+01 a       491     0    25     1    11
 -1.3940345629801330E+01 a       492     0    25     1    12
 -6.8817411399547901E-01 a       493     0    25     1    13
 -2.1198828877608950E+01 a       494     0    25     1    14
 -1.5466608479785547E+01 a       495     0    25     1    15
  6.9843740737942097E+00 a       496     0    25     1    16
  6.4449394881739686E+00 a       497     0    25     1    17
 -1.0595310876311036E+01 a       498     0    25     1    18
 -3.5997468806137611E+01 a       499     0    25     1    19
 -7.6909419805688319E+00 a       500     0    25     1    20
  3.0276245077886754E+00 a       501     0    26     1     1
  6.4941503085626140E+00 a       502     0    26     1     2
  5.2831257053961940E+00 a       503     0    26     1     3
 -3.4465768094578905E+01 a       504     0    26     1     4
  3.7267870362525719E+00 a       505     0    26     1     5
  3.6632027082139151E+00 a       506     0    26     1     6
 -6.3329345621908901E+00 a       507     0    26     1     7
 -6.7872277728596568E+00 a       508     0    26     1     8
  1.1281304692634638E+01 a       509     0    26     1     9
  1.1643874107079231E+01 a       510     0    26     1    10
 -9.6014695276588551E+00 a       511     0    26     1    11
  5.5819290606715866E+00 a       512     0    26     1    12
